station_name,population
Sydney Olympic Park,5840
Chatswood,25553
Abbotsford,7073
Marrickville,28590
Randwick,144598
Rose Bay,10220
Centennial Park,2374
Millers Point,2929
Dundee,155
Guyra,2077
Pinkett,77
Glen Elgin,
Ebor,149
Glen Innes,
Kookabookra,
Avoca Beach,
Concord,14551
Cronulla,
Mascot,21591
Randwick,134252
Sans Souci,
Terrey Hills,
Lucas Heights,
Mount-Gai,
Gordon,9460
Collaroy,7944
Bankstown,34933
Mona Vale,11217
Duffys Forest,509
Peakhurst,12079
Macqurie,11071
Holsworthy,5657
Audley,10664
Canterbury,9430
Wahroonga,17853
Honrnsby,22462
North Parramatta,12604
North Rocks,9136

